POSX	POSY	EDEP	EKIN	FullEne
-6.26531	-0.388356	40.5	0	0
-2.61807	6.40826	0	40.5	40.5
-0.848482	-6.90448	40.5	0	0
-7.03983	-5.31593	38.8526	6.20262	6.20262
-6.08352	4.60717	40.5	0	0
-1.29577	-5.47083	40.5	0	0
-4.14442	5.77256	40.5	0	0
-2.19976	-5.49192	40.5	0	0
-3.51552	6.25397	33.1459	0	0
-5.25137	-6.26189	40.5	0	0
-6.19409	-2.65451	40.5	0	0
-3.38058	-2.48088	40.5	13.5	13.5
-3.05188	2.17667	40.5	0	0
-3.94386	-2.26278	40.5	0	0
-4.72511	-6.08447	40.5	0	0
-2.05669	2.94488	40.5	0	0
-6.97989	1.02677	40.5	0	0
-6.00415	0.131386	40.5	0	0
-3.8159	1.7217	40.5	0	0
-0.296201	-6.015	40.5	0	0
-1.15535	-1.11157	40.5	0	0
-5.83912	2.33658	40.5	0	0
-3.09138	-1.15113	40.5	0	0
-1.44525	-3.49655	40.5	0	0
5.25397	2.24634	40.5	8.9011	8.9011
-6.2957	-4.157	40.5	0	0
-6.46462	-3.3322	40.3814	0	0
-2.81046	-0.348619	40.5	0	0
-6.91025	-4.49967	40.5	20.2596	20.2596
-2.44534	-3.81385	40.5	0	0
-6.38562	6.49599	40.5	0	0
-4.8394	-3.31392	40.5	0	0
-5.54906	0.571028	40.5	0	0
-4.7718	6.98957	0	40.5	40.5
-1.95709	-5.07063	40.5	0	0
-6.78499	2.29429	40.5	0	0
-3.68343	-0.69025	40.5	0	0
-4.35301	-4.91951	40.5	0	0
-0.292589	-0.237887	39.005	0	0
-4.19679	-0.815419	40.5	0	0
-6.42537	5.88771	40.5	0	0
-0.364026	5.75974	35.1426	11.7142	11.7142
-3.33436	2.25125	40.5	0	0
-5.40474	7.01176	40.5	0	0
-3.61658	-0.620819	39.0436	0	0
-1.336	-2.41585	40.5	0	0
-4.49807	-2.7245	40.5	0	0
-6.94145	-0.815782	40.5	0	0
-1.54448	3.09528	40.5	0	0
-2.73133	4.53765	40.5	0	0
-0.306383	-2.86369	40.5	0	0
-2.46294	2.63684	40.5	0	0
-2.97858	0.31329	40.5	0	0
-0.963043	-3.70732	40.5	0	0
-2.19863	4.72529	40.5	0	0
-6.87984	-5.89543	40.5	0	0
-3.71072	
